gene_names	embryonic_day_145_female	embryonic_day_145_female_rep1	embryonic_day_145_female_rep2	embryonic_day_145_male	embryonic_day_145_male_rep1	embryonic_day_145_male_rep2	embryonic_day_115_female	embryonic_day_115_female_rep1	embryonic_day_115_female_rep2	embryonic_day_115_male	embryonic_day_115_male_rep1	embryonic_day_115_male_rep2
ENSMUSG00000051951	Xkr4	3.88958014801307	3.4169664645539	3.26838948045256	4.43866384825956	3.91860225213678	3.86979858757239	1.7888469246836	1.80578769171821	1.81545904859414	2.10899836828085	2.28981631861304	2.29257120052048
ENSMUSG00000025902	Sox17	2.03618224570359	1.94030181163906	1.86602572381166	2.46245318589917	2.48790557878424	2.24411351215809	2.35073023467021	1.98484254082553	2.07998010487231	2.14851751513829	2.06277759904129	2.31290839471726
ENSMUSG00000033845	Mrpl15	4.34415368007646	4.31392842844089	4.3600157478368	4.31553359573927	4.36374961756304	4.38072176467668	4.57143762429908	4.50284613623	4.60787640159109	4.54007717721588	4.57156814394992	4.57175006343941
ENSMUSG00000025903	Lypla1	4.22705559690283	4.25469372884712	4.13429633718902	4.35356385289665	4.42310874359247	4.47572483232092	5.09719193016969	5.01041642563003	5.1844593940906	4.90198629489956	4.84042069188585	4.86195712286179
ENSMUSG00000033813	Tcea1	7.1304490963376	7.12211380304845	7.01786490983534	7.28779056243407	7.27551908400131	7.26010111783759	7.29333257935446	7.23262653158486	7.38952921951246	7.19213075551714	7.21698526025147	7.3055217257733
ENSMUSG00000062588	Gm6104	2.32479823372409	2.38994008156174	2.33705279085375	2.72816074364341	2.12460590124058	2.46931617930755	2.98692259368731	3.06680780267065	3.11806891134532	2.61169924839824	2.9279722656	2.55338828113191
ENSMUSG00000103280	Gm37277	2.57028293566487	2.70209306494112	2.72575892318447	2.90061188384025	3.02725922633983	3.13469196909717	0.302326946546085	0.76755509930884	0.115839417593026	-0.0953811979682335	0.975573625799225	0.119961753182771
ENSMUSG00000002459	Rgs20	3.94193003248987	4.07609876838191	3.99818894805651	3.78453434057378	3.77133888691182	3.6273920200547	1.95493847379445	1.84447526536069	1.91114419246443	1.69682229672743	1.84634141902249	2.04993448086978
ENSMUSG00000033793	Atp6v1h	5.40321312114784	5.21271404831668	5.3003784513303	5.50439979947158	5.43826084203269	5.50945758456362	4.59863093499895	4.67112227755522	4.7802772592128	4.54909247772466	4.7107696651611	4.60741503694528
ENSMUSG00000025905	Oprk1	-0.736595056778576	-1.20495564763986	-0.946781342185766	-0.291741702111455	-0.136451759039321	-0.28735549188394	-1.28834475459108	-1.24672481851055	-1.36199419397376	-1.30034842232329	-1.1369147579188	-1.22793513314955
ENSMUSG00000025907	Rb1cc1	4.87094374020816	4.68827528900851	4.63105087691154	5.48158298900017	5.27374221626595	5.33834097600509	4.36662004841725	4.36498094850005	4.43099945728827	4.38097119272825	4.45648828743174	4.47504058401717
ENSMUSG00000090031	4732440D04Rik	1.51622674394539	1.54491968141605	1.39481426914107	2.56848472100997	2.60111263151362	2.59429367387249	1.13988529279868	1.14327535810133	1.16067675220203	0.954490744999468	0.878285799517307	1.01898935734486
ENSMUSG00000103845	Gm19026	1.91843381233778	1.85107507526438	1.71398955473216	2.10871082167427	1.90186453655391	1.75731750833959	1.00433025565486	1.07813217931346	1.18523417053997	1.3005369006639	1.63333282091708	1.54309029357762
